,peak_start,file
0,16.23061224489796,sounds/samples/vi95kMQ65UeU7K1wae12D1GUeXd2/sample-1613658951901.m4a
1,19.235691609977323,sounds/samples/vi95kMQ65UeU7K1wae12D1GUeXd2/sample-1613658951901.m4a
2,23.185034013605442,sounds/samples/vi95kMQ65UeU7K1wae12D1GUeXd2/sample-1613658951901.m4a
0,6.004353741496598,sounds/samples/vi95kMQ65UeU7K1wae12D1GUeXd2/sample-1613659252601.m4a
1,17.916961451247165,sounds/samples/vi95kMQ65UeU7K1wae12D1GUeXd2/sample-1613659252601.m4a
2,27.79578231292517,sounds/samples/vi95kMQ65UeU7K1wae12D1GUeXd2/sample-1613659252601.m4a
0,18.208027210884353,sounds/samples/vi95kMQ65UeU7K1wae12D1GUeXd2/sample-1613659042103.m4a
0,8.85482993197279,sounds/samples/vi95kMQ65UeU7K1wae12D1GUeXd2/sample-1613658981959.m4a
1,16.18784580498866,sounds/samples/vi95kMQ65UeU7K1wae12D1GUeXd2/sample-1613658981959.m4a
0,6.375736961451247,sounds/samples/vi95kMQ65UeU7K1wae12D1GUeXd2/sample-1613659433020.m4a
0,22.598412698412698,sounds/samples/vi95kMQ65UeU7K1wae12D1GUeXd2/sample-1613659132314.m4a
0,8.717052154195011,sounds/samples/vi95kMQ65UeU7K1wae12D1GUeXd2/sample-1613659222524.m4a
1,28.302902494331065,sounds/samples/vi95kMQ65UeU7K1wae12D1GUeXd2/sample-1613659222524.m4a
0,18.755827664399092,sounds/samples/vi95kMQ65UeU7K1wae12D1GUeXd2/sample-1613659072184.m4a
0,7.697278911564626,sounds/samples/vi95kMQ65UeU7K1wae12D1GUeXd2/sample-1613659012035.m4a
0,21.45578231292517,sounds/samples/vi95kMQ65UeU7K1wae12D1GUeXd2/sample-1613659342809.m4a
